sample_id,Age,Tissue,Light,Temperature
col_0_DD_DDHC,8,Seedling,Dark,22
col_4_DD_DDHC,8,Seedling,Dark,22
col_8_DD_DDHC,8,Seedling,Dark,22
col_12_DD_DDHC,8,Seedling,Dark,22
col_16_DD_DDHC,8,Seedling,Dark,22
col_20_DD_DDHC,8,Seedling,Dark,22
col_24_DD_DDHC,8,Seedling,Dark,22
col_28_DD_DDHC,8,Seedling,Dark,22
col_32_DD_DDHC,8,Seedling,Dark,22
col_36_DD_DDHC,8,Seedling,Dark,22
col_40_DD_DDHC,8,Seedling,Dark,22
col_44_DD_DDHC,8,Seedling,Dark,22
col_0_LDHC,7,Seedling,Light,22
col_4_LDHC,7,Seedling,Light,22
col_8_LDHC,7,Seedling,Light,22
col_12_LDHC,7,Seedling,Light,22
col_16_LDHC,7,Seedling,Dark,12
col_20_LDHC,7,Seedling,Dark,12
col_24_LDHC,7,Seedling,Dark,12
col_28_LDHC,7,Seedling,Light,22
col_32_LDHC,7,Seedling,Light,22
col_36_LDHC,7,Seedling,Light,22
col_40_LDHC,7,Seedling,Dark,12
col_44_LDHC,7,Seedling,Dark,12
col_0_LLHC,7,Seedling,Light,22
col_4_LLHC,7,Seedling,Light,22
col_8_LLHC,7,Seedling,Light,22
col_12_LLHC,7,Seedling,Light,22
col_16_LLHC,7,Seedling,Light,12
col_20_LLHC,7,Seedling,Light,12
col_24_LLHC,7,Seedling,Light,12
col_28_LLHC,7,Seedling,Light,12
col_32_LLHC,7,Seedling,Light,22
col_36_LLHC,7,Seedling,Light,22
col_40_LLHC,7,Seedling,Light,22
col_44_LLHC,7,Seedling,Light,22
col_0_LL_LDHC,9,Seedling,Light,22
col_4_LL_LDHC,9,Seedling,Light,22
col_8_LL_LDHC,9,Seedling,Light,22
col_12_LL_LDHC,9,Seedling,Light,22
col_16_LL_LDHC,9,Seedling,Light,22
col_20_LL_LDHC,9,Seedling,Light,22
col_24_LL_LDHC,9,Seedling,Light,22
col_28_LL_LDHC,9,Seedling,Light,22
col_32_LL_LDHC,9,Seedling,Light,22
col_36_LL_LDHC,9,Seedling,Light,22
col_40_LL_LDHC,9,Seedling,Light,22
col_44_LL_LDHC,9,Seedling,Light,22
col_0_LL_LLHC,9,Seedling,Light,22
col_4_LL_LLHC,9,Seedling,Light,22
col_8_LL_LLHC,9,Seedling,Light,22
col_12_LL_LLHC,9,Seedling,Light,22
col_16_LL_LLHC,9,Seedling,Light,22
col_20_LL_LLHC,9,Seedling,Light,22
col_24_LL_LLHC,9,Seedling,Light,22
col_28_LL_LLHC,9,Seedling,Light,22
col_32_LL_LLHC,9,Seedling,Light,22
col_36_LL_LLHC,9,Seedling,Light,22
col_40_LL_LLHC,9,Seedling,Light,22
col_44_LL_LLHC,9,Seedling,Light,22
